subject,session_datetime,trial_id,event_start_time,event_type
subject1,2021-01-01 00:00:01,1,0.269,right
subject1,2021-01-01 00:00:01,1,0.407,left
subject1,2021-01-01 00:00:01,2,1.611,center
subject1,2021-01-01 00:00:01,2,1.649,center
subject1,2021-01-01 00:00:01,3,2.935,left
subject1,2021-01-01 00:00:01,3,2.777,left
subject1,2021-01-01 00:00:01,4,4.006,right
subject1,2021-01-01 00:00:01,5,5.123,center
subject1,2021-01-01 00:00:01,6,5.995,right
subject1,2021-01-01 00:00:01,6,6.033,center
subject1,2021-01-01 00:00:01,7,7.29,left
subject1,2021-01-01 00:00:01,7,7.397,center
subject1,2021-01-01 00:00:01,8,8.54,left
subject1,2021-01-01 00:00:01,8,8.531,center
subject1,2021-01-01 00:00:01,9,10.118,left
subject1,2021-01-01 00:00:01,9,10.035,center
subject1,2021-01-01 00:00:01,10,11.042,right
subject1,2021-01-01 00:00:01,11,12.496,center
subject1,2021-01-01 00:00:01,11,12.293,right
subject1,2021-01-01 00:00:01,12,13.666,left
subject1,2021-01-01 00:00:01,13,14.845,right
subject1,2021-01-01 00:00:01,14,15.822,left
subject1,2021-01-01 00:00:01,14,15.642,left
subject1,2021-01-01 00:00:01,15,16.82,left
subject1,2021-01-01 00:00:01,16,18.004,left
subject1,2021-01-01 00:00:01,16,17.763,left
subject1,2021-01-01 00:00:01,17,18.943,center
subject1,2021-01-01 00:00:01,18,19.952,right
subject1,2021-01-01 00:00:01,18,20.211,center
subject1,2021-01-01 00:00:01,19,21.054,right
subject1,2021-01-01 00:00:01,19,21.262,right
subject1,2021-01-01 00:00:01,20,22.541,center
subject1,2021-01-01 00:00:01,21,23.339,left
subject1,2021-01-01 00:00:01,21,23.444,right
subject1,2021-01-01 00:00:01,22,24.616,right
subject1,2021-01-01 00:00:01,23,25.554,left
subject1,2021-01-01 00:00:01,23,25.492,left
subject1,2021-01-01 00:00:01,24,26.724,center
subject1,2021-01-01 00:00:01,25,24.476,left
subject1,2021-01-01 00:00:01,25,24.323,right
subject1,2021-01-01 00:00:01,26,25.423,center
subject1,2021-01-01 00:00:01,26,25.31,center
subject1,2021-01-01 00:00:01,27,26.546,left
subject1,2021-01-01 00:00:01,28,27.5,left
subject1,2021-01-01 00:00:01,29,28.625,right
subject1,2021-01-01 00:00:01,29,28.523,right
subject1,2021-01-01 00:00:01,30,29.498,right
subject1,2021-01-01 00:00:01,31,30.654,center
subject1,2021-01-01 00:00:01,32,31.914,center
subject1,2021-01-01 00:00:01,32,32.165,right
subject1,2021-01-01 00:00:01,33,33.228,right
subject1,2021-01-01 00:00:01,34,34.287,center
subject1,2021-01-01 00:00:01,34,34.315,center
subject1,2021-01-01 00:00:01,35,35.383,right
subject1,2021-01-01 00:00:01,35,35.588,center
subject1,2021-01-01 00:00:01,36,36.832,left
subject1,2021-01-01 00:00:01,36,36.597,center
subject1,2021-01-01 00:00:01,37,38.001,center
subject1,2021-01-01 00:00:01,37,37.973,left
subject1,2021-01-01 00:00:01,38,39.011,right
subject1,2021-01-01 00:00:01,39,40.092,left
subject1,2021-01-01 00:00:01,39,40.099,left
subject1,2021-01-01 00:00:01,40,41.133,center
subject1,2021-01-01 00:00:01,40,41.179,center
subject1,2021-01-01 00:00:01,41,42.206,right
subject1,2021-01-01 00:00:01,42,43.695,right
subject1,2021-01-01 00:00:01,43,44.761,center
subject1,2021-01-01 00:00:01,44,45.896,center
subject1,2021-01-01 00:00:01,44,45.916,center
subject1,2021-01-01 00:00:01,45,47.316,right
subject1,2021-01-01 00:00:01,46,48.23,center
subject1,2021-01-01 00:00:01,47,49.44,left
subject1,2021-01-01 00:00:01,47,49.559,center
subject1,2021-01-01 00:00:01,48,50.527,left
subject1,2021-01-01 00:00:01,49,51.947,left
